x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,label
0.0,0.0,0.0,-0.37879863,-0.07338336,-0.052818898,-0.611239,-0.21951832,-0.109649286,-0.7534877,-0.3257193,-0.21515855,-0.4631219,-0.3649521,-0.027794808,-0.63011855,-0.5479108,-0.35517535,-0.7007995,-0.8387963,-0.27155378,-0.56712323,-0.7766385,-0.10212242,-0.45520288,-0.51688313,-0.078893304,-0.43418822,-0.7708688,-0.46609217,-0.5157541,-0.9413876,-0.38246584,-0.39360788,-0.9485439,-0.2011337,-0.3504653,-0.722376,-0.20923705,-0.17077668,-0.73228604,-0.48722816,-0.28331873,-0.98256767,-0.4962172,-0.15961511,-0.93111837,-0.18131304,-0.09050247,-0.7296959,-0.17536955,0.032293897,-0.70200163,-0.45993578,-0.025792612,-0.98615193,-0.38660598,0.05113714,-0.8682521,-0.1951153,0.13828574,-0.71275985,-0.1922123,NO_GUN
0.0,0.0,0.0,0.32103583,-0.24345519,-0.08073255,0.56663877,-0.5146936,-0.15089265,0.75040054,-0.80057764,-0.2427261,0.81707495,-1.060459,-0.2713036,0.14815632,-0.8713019,-0.27966058,0.13554539,-1.2155527,-0.43071628,0.1569983,-1.5479436,-0.53027123,0.076621324,-1.8803979,-0.62115943,-0.07363925,-0.9419588,-0.3275529,-0.13176103,-1.1295139,-0.20710158,-0.14872253,-0.92816335,0.027266929,-0.13225237,-0.62967145,0.02994105,-0.29311952,-0.8175855,-0.28307882,-0.3666987,-1.0770509,-0.18547726,-0.28364328,-0.88169205,0.004006107,-0.28855118,-0.63633215,0.09881409,-0.53665274,-0.68512917,-0.31601003,-0.56439704,-0.9173659,-0.16475032,-0.4768631,-0.73337275,0.013798158,-0.41243947,-0.49501485,0.049304564,GUN_READY
0.0,0.0,0.0,0.27083945,-0.31121233,-0.11078382,0.3544621,-0.51108295,-0.24906862,0.4732068,-0.73969036,-0.40640578,0.41562098,-0.9387424,-0.4508165,0.047606714,-0.8927687,-0.39095515,-0.030645236,-1.1812346,-0.4647927,-0.024668833,-1.4717193,-0.5833281,-0.19264106,-1.8028039,-0.7147866,-0.20170203,-0.92245,-0.32924494,-0.29840574,-1.2328994,-0.3904198,-0.32510623,-1.5210412,-0.54116386,-0.45767415,-1.8410114,-0.61698157,-0.44613454,-0.8766085,-0.2491739,-0.48750475,-1.1414998,-0.40913087,-0.5469984,-1.4289593,-0.39976314,-0.60672635,-1.6646787,-0.5409474,-0.5719304,-0.69171506,-0.08302553,-0.7037957,-0.94473916,-0.24141909,-0.6899315,-1.2296594,-0.3353396,-0.7927964,-1.510181,-0.42789465,NO_GUN
0.0,0.0,0.0,0.2610879,-0.24406451,-0.0072661256,0.45236498,-0.50248086,-0.01712577,0.628018,-0.854687,-0.12472503,0.7262047,-1.2103995,-0.1945522,0.05439198,-0.87672895,-0.19958779,-0.03114261,-1.1966244,-0.3039558,-0.1758672,-1.5488558,-0.3892128,-0.17187466,-1.8652195,-0.52868253,-0.24377298,-0.93803626,-0.24629796,-0.3238812,-1.1168747,-0.09455244,-0.23158759,-0.8422785,0.14092241,-0.20441076,-0.65547764,0.16445087,-0.4459096,-0.7594322,-0.2070807,-0.5369915,-1.0356498,-0.08396102,-0.42580646,-0.8322953,0.14434643,-0.38894764,-0.60553646,0.15310003,-0.66489184,-0.601509,-0.2526331,-0.71684796,-0.8590155,-0.07322066,-0.61967653,-0.6928056,0.15776399,-0.39749822,-0.47770405,0.15554607,GUN_READY
0.0,0.0,0.0,-0.20352866,-0.33523744,0.028128013,-0.24389046,-0.51316345,0.075058304,-0.08977642,-0.5903141,0.20181057,0.001800418,-0.6120157,0.2617719,0.25943467,-0.8625353,0.22319004,0.41483304,-1.1351336,0.29790613,0.53702116,-1.4132158,0.3806778,0.7707205,-1.7025186,0.45649627,0.5619229,-0.81136405,0.16103114,0.53085214,-0.87177587,0.4434074,0.4358619,-0.61134267,0.57178026,0.2752837,-0.3948739,0.41724774,0.6715555,-0.63512784,0.20803544,0.7549159,-0.73619515,0.43356392,0.6022935,-0.48547268,0.51395714,0.42737818,-0.2857499,0.41154787,0.7774219,-0.40599248,0.18838762,0.8303323,-0.52192414,0.40116918,0.67483217,-0.31019476,0.4989492,0.5365635,-0.14932214,0.37113884,SHOOT
0.0,0.0,0.0,-0.037350293,-0.20985243,0.2237417,-0.07908716,-0.4268257,0.29980105,-0.021154027,-0.5265099,0.31614304,-0.004304288,-0.56500435,0.35622752,-0.130747,-0.9145079,0.3083154,-0.15579638,-1.1929865,0.36985746,-0.1370497,-1.5602516,0.40015674,-0.1533772,-1.8186747,0.49746004,0.058177415,-0.9826945,0.17586058,0.16011623,-1.1507878,0.42981055,0.20859407,-0.9152021,0.4792097,0.15652502,-0.749375,0.35720223,0.25473076,-0.93284637,0.14585294,0.37480912,-1.0563706,0.2780326,0.4012824,-0.9131168,0.34035495,0.36765817,-0.70262253,0.23637934,0.40798745,-0.8204602,-0.087458394,0.5172747,-0.9813408,0.17598933,0.61379164,-0.7471338,0.24120192,0.5670009,-0.6121928,0.08661479,NO_GUN
0.0,0.0,0.0,0.1513199,-0.10994028,0.15685208,0.38056105,-0.27198702,0.2845939,0.36764222,-0.401867,0.3535881,0.19830686,-0.44340688,0.46851563,0.6030654,-0.68655705,0.39576957,0.78805214,-1.0607171,0.5280129,0.9034547,-1.4092233,0.75384635,0.9525676,-1.6194712,0.8350111,0.4582284,-0.817521,0.34883547,0.48907712,-0.9801169,0.69897574,0.25633827,-0.7923051,0.7650107,0.2174826,-0.6696269,0.59008855,0.13494481,-0.9797285,0.25176936,0.07083846,-1.0336485,0.6633931,0.048146345,-0.79054946,0.6438937,0.038024653,-0.6367261,0.4706234,-0.14485586,-0.90682566,0.2453894,-0.20789361,-1.053414,0.5877363,-0.29477644,-0.8469845,0.661932,-0.27707604,-0.6857368,0.38349134,NO_GUN
0.0,0.0,0.0,-0.17803635,-0.27725643,0.17044486,-0.33354658,-0.5876796,0.16392846,-0.44453228,-0.8588559,0.2369999,-0.4475552,-1.1864643,0.26502293,-0.31679454,-0.86549497,0.16529931,-0.258833,-1.0861782,0.3677647,-0.15079619,-0.95629734,0.45009083,-0.15353218,-0.6614797,0.38945955,-0.118259445,-0.99165463,0.051340215,-0.05194953,-1.2533706,0.2083651,0.024164243,-1.0454547,0.32648978,0.015474557,-0.8497765,0.27147856,0.0998497,-0.9553923,-0.08397702,0.16083716,-1.2171782,0.07403905,0.26700857,-0.98533267,0.2192037,0.23439224,-0.77160555,0.11901299,0.34794918,-0.8851433,-0.2106346,0.35970214,-1.095002,-0.050401647,0.48533314,-0.89122117,0.08066313,0.49195623,-0.68102837,0.021567553,NO_GUN
0.0,0.0,0.0,0.1508924,-0.24689268,-0.21394986,0.29444674,-0.50422454,-0.376311,0.28069586,-0.81058145,-0.4876912,0.3688124,-0.9772692,-0.6852451,0.19644144,-0.78619885,-0.46827224,0.38119668,-1.0590086,-0.32203606,0.4098054,-0.87949395,-0.26436007,0.33851582,-0.6826696,-0.21541211,-0.006226668,-0.9308731,-0.36528957,0.15855728,-1.196494,-0.31464553,0.16493554,-1.0922974,-0.13551214,0.099138886,-0.84977555,-0.13111414,-0.20079178,-0.91196954,-0.28626776,-0.006813711,-1.1538421,-0.17719026,-0.013196476,-1.0343008,0.040459726,-0.046324663,-0.7491167,0.0018586853,-0.32443318,-0.8654711,-0.0610155,-0.20813385,-1.1119443,-0.04598498,-0.17122148,-0.97314495,0.1665964,-0.21766984,-0.7263618,0.17357525,NO_GUN
0.0,0.0,0.0,0.29606992,-0.20300697,0.12137023,0.43807054,-0.36165947,0.22721826,0.6117301,-0.60553825,0.32343477,0.2613751,-0.45580995,0.35032725,0.3734385,-0.8641884,0.21139574,0.25574172,-1.0334561,0.42482036,0.18448815,-0.8540518,0.55937296,0.2198541,-0.6272699,0.4214085,0.15031031,-0.976257,0.1559775,0.048540927,-1.2157253,0.29566073,-0.020154327,-0.95415837,0.44131836,0.0038652436,-0.7667808,0.3202323,-0.06598875,-0.9446576,0.074635275,-0.17152849,-1.125327,0.26457846,-0.19103195,-0.92496675,0.3398623,-0.25374576,-0.7417957,0.20547411,-0.31287602,-0.8633374,-0.09156243,-0.37219307,-1.063924,0.13504174,-0.45197776,-0.8928145,0.25913584,-0.4237425,-0.6479521,0.19944137,NO_GUN
0.0,0.0,0.0,-0.35369283,-0.19276187,0.1186014,-0.4667986,-0.3403505,0.10448791,-0.41118515,-0.49825,0.10974134,-0.3345822,-0.5800291,0.07203359,-0.4357344,-0.79946446,-0.19615085,-0.47465882,-1.0624478,-0.30512822,-0.5762573,-1.3756294,-0.42668307,-0.6430836,-1.6767724,-0.55066466,-0.19935091,-0.9147362,-0.35144964,-0.1755079,-1.1097163,-0.2664552,-0.043788444,-0.9424177,-0.041132197,-0.025064372,-0.655354,0.023241274,0.030430393,-0.87389475,-0.39493826,0.08590051,-1.0841329,-0.26324022,0.09341155,-0.90822583,-0.08025899,0.12632592,-0.644973,-0.019627113,0.21708362,-0.7128212,-0.48003724,0.19046196,-0.9656534,-0.35365435,0.28138775,-0.8734582,-0.121311456,0.25816312,-0.5980531,-0.12218313,SHOOT
0.0,0.0,0.0,0.25114816,-0.33616132,-0.022483144,0.38704136,-0.6418939,-0.075014524,0.45959866,-0.9666782,-0.097266726,0.47222635,-1.2741196,-0.120330624,-0.09107777,-0.8991356,-0.085352264,-0.21101525,-1.1898633,-0.08459791,-0.30627108,-1.5382795,-0.06611156,-0.43039718,-1.8435438,-0.052737806,-0.36432585,-0.93116903,-0.0138169965,-0.37469262,-1.0245126,0.1478945,-0.2691246,-0.8070426,0.3218052,-0.20016797,-0.59469676,0.27609745,-0.55376595,-0.7462682,0.04026079,-0.5677934,-0.9137868,0.218579,-0.45291704,-0.7458563,0.323654,-0.3361935,-0.51769936,0.29072174,-0.6738077,-0.59625465,0.049143586,-0.6928442,-0.7598328,0.22830217,-0.5577757,-0.5832627,0.34063318,-0.46098974,-0.40319732,0.29505417,GUN_READY
0.0,0.0,0.0,0.19305897,-0.30217168,0.09921911,0.22092827,-0.64782196,0.17157497,0.14396441,-0.84592146,0.14575768,0.12747568,-1.1536022,0.14863566,-0.13766298,-0.89990103,-0.02003042,-0.30917126,-1.2361826,-0.052176464,-0.40835693,-1.5662961,-0.097061716,-0.61523616,-1.8745248,-0.061224546,-0.40263882,-0.89379674,-0.19750796,-0.46249142,-1.2276458,-0.21057811,-0.7970134,-1.5234995,-0.22466,-0.74731606,-1.8714482,-0.3540975,-0.5415634,-0.66502386,-0.26111248,-0.6534788,-1.0998513,-0.31672928,-0.8661256,-1.3506943,-0.41576618,-1.0131909,-1.6949782,-0.47347444,-0.67704153,-0.50840956,-0.38950577,-0.84114975,-0.7979365,-0.36165485,-0.89746463,-1.0484407,-0.5148007,-1.2085416,-1.2810819,-0.5125911,NO_GUN
0.0,0.0,0.0,0.18235157,-0.3724082,0.13343994,0.15513141,-0.6122563,0.31066334,0.14015134,-0.8350979,0.4331397,0.066236846,-0.48628068,0.4243839,-0.16706318,-0.8275833,0.45446953,-0.2565189,-0.8781152,0.6982247,-0.0903139,-0.6389983,0.7402359,-0.06616388,-0.52506596,0.6125228,-0.4848932,-0.74178034,0.4632931,-0.48961252,-0.8191884,0.6900534,-0.36996636,-0.5964224,0.7682987,-0.30594534,-0.53558433,0.5969566,-0.64027756,-0.6249274,0.40136707,-0.681469,-0.63620627,0.6998354,-0.5630506,-0.44777915,0.705732,-0.5077739,-0.33158186,0.54765797,-0.806856,-0.43756616,0.30952877,-0.83855534,-0.44042808,0.5383464,-0.7316129,-0.25116268,0.6569228,-0.64702266,-0.15660341,0.44626582,NO_GUN
0.0,0.0,0.0,0.21652809,-0.2900993,0.1493557,0.3868521,-0.58448917,0.24682432,0.45298612,-0.96014106,0.3035244,0.52580935,-1.2106209,0.44679955,-0.0016108686,-0.9111021,0.12342172,-0.14106683,-1.3134155,0.08102456,-0.23184748,-1.6651679,0.028077578,-0.41441995,-1.950007,0.06330621,-0.27240765,-0.9579077,-0.09059196,-0.50321865,-1.068122,0.13130629,-0.45931306,-0.77150124,0.25916198,-0.35682464,-0.5512645,0.2810916,-0.52424353,-0.8013125,-0.14556766,-0.6412196,-0.95662457,0.0009646105,-0.57993954,-0.7060683,0.16980511,-0.5035825,-0.524029,0.23351948,-0.63721865,-0.6462994,-0.23247115,-0.7804182,-0.8130822,-0.07525842,-0.7191713,-0.55223536,0.08352726,-0.5979841,-0.30949622,0.07023788,GUN_READY
0.0,0.0,0.0,-0.36588374,-0.17719324,0.12595667,-0.5955183,-0.36585107,0.31786463,-0.7784927,-0.5610094,0.4145017,-0.8962508,-0.813372,0.54715466,-0.25661856,-0.81068987,0.39691108,-0.33537006,-1.1111994,0.48708323,-0.3097382,-1.387403,0.6696978,-0.3837973,-1.6853026,0.7861965,-0.07799024,-0.90385675,0.42066672,-0.009606047,-0.911031,0.67011154,0.016711345,-0.6406302,0.63263845,0.05272274,-0.44491738,0.48644283,0.16996855,-0.7728589,0.3353495,0.18933211,-0.9582935,0.6442633,0.16866782,-0.7008651,0.6285156,0.15246063,-0.3908252,0.48896804,0.43504736,-0.71713376,0.29168925,0.34657514,-0.8573086,0.51672345,0.38946795,-0.5664192,0.56985897,0.3236078,-0.3991667,0.45463675,GUN_READY
0.0,0.0,0.0,0.30677122,-0.2732667,0.1483894,0.53240985,-0.49956498,0.21608615,0.66883945,-0.87314945,0.27504146,0.72352535,-1.1723496,0.29881775,0.18813911,-0.9305067,-0.044511702,0.17527327,-1.3166058,-0.06835446,0.11905416,-1.6761615,-0.13458036,0.055560477,-1.9669981,-0.17247964,-0.08906358,-0.989116,-0.11712032,-0.16949992,-1.1052227,-0.0077228565,-0.22887924,-0.8935963,0.18189475,-0.1820654,-0.6359026,0.17963956,-0.3065239,-0.8575775,-0.24705796,-0.36769268,-1.0977722,-0.017490434,-0.42033255,-0.86491823,0.12489431,-0.311673,-0.6099015,0.09216701,-0.48495132,-0.7560244,-0.35356322,-0.56001776,-0.932867,-0.18582569,-0.5089167,-0.7367218,0.020023372,-0.44675148,-0.422889,0.024569545,GUN_READY
0.0,0.0,0.0,0.28370494,-0.22147486,0.033558045,0.46155193,-0.3929139,0.14035636,0.38598087,-0.4784434,0.18318239,0.23823015,-0.54866546,0.20467548,0.2531917,-0.87226695,0.061483096,0.24865502,-1.1998988,0.054429162,0.27805874,-1.5496475,0.04202845,0.3333589,-1.8934145,0.07571985,0.010888872,-0.9997407,0.019998515,-0.019980773,-1.1298685,0.23717359,-0.06967379,-0.8675141,0.34214893,-0.048924953,-0.5982304,0.33713758,-0.2304792,-0.90759546,0.025121756,-0.23243235,-1.1251805,0.23587747,-0.2052794,-0.8454636,0.36151227,-0.19601892,-0.59613925,0.34544826,-0.4153583,-0.7918014,-0.040998504,-0.4179569,-0.98024404,0.2105189,-0.3767752,-0.7724298,0.32248744,-0.39266074,-0.5512446,0.2933053,SHOOT
0.0,0.0,0.0,0.28419533,-0.17722377,0.09094101,0.4672744,-0.28509095,0.10475532,0.46693283,-0.35895053,0.12998961,0.40625185,-0.49022648,0.12582667,0.71272635,-0.6040074,-0.10622077,0.9216522,-0.9283009,-0.17895918,1.0698037,-1.1925749,-0.21477447,1.2615632,-1.4731393,-0.27251208,0.512491,-0.8434096,-0.16128615,0.60700244,-1.0695459,-0.03551093,0.49037126,-0.895257,0.20131789,0.41745183,-0.7081122,0.11817677,0.32377303,-0.8470526,-0.20176831,0.3384475,-1.087671,-0.03903806,0.24217074,-0.9805881,0.14486986,0.15653707,-0.7976716,0.08601768,0.046221383,-0.9458957,-0.17437454,0.09223983,-1.0887482,-0.042998344,0.017714255,-0.97770303,0.12647225,-0.05965747,-0.7958814,0.055095308,NO_GUN
